,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,MAR_distance,MAR_lat,MAR_lon,MAR_i,MAR_j,MAR_elevation,MAR_10m_temp
33,33,1955-06-27 00:00:00,4-200,74.22166666666666,-42.16666666666666,2918.0,10.0,-30.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.16666666666666 74.22166666666666),164.45111877571543,74.17086791992188,-42.0097770690918,109.0,49.0,2976.976806640625,-31.280242919921875
34,34,1955-06-30 00:00:00,4-225,73.87333333333333,-41.8,2940.0,10.0,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.8 73.87333333333333),163.43884760742574,73.89187622070312,-41.57209396362305,107.0,50.0,2998.947021484375,-31.491302490234375
35,35,1955-07-02 00:00:00,4-250,73.51666666666667,-41.41666666666666,2972.0,10.0,-30.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.41666666666666 73.51666666666667),162.76447847762233,73.62073516845703,-41.629638671875,105.0,50.0,3010.527587890625,-30.473281860351562
36,36,1955-07-04 00:00:00,4-275,73.16666666666667,-41.1,3003.0,10.0,-29.4,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.1 73.16666666666667),161.72713155455654,73.20597839355469,-41.24403381347656,102.0,51.0,3050.6875,-30.757125854492188
37,37,1955-07-08 00:00:00,4-300,72.815,-40.75,3046.0,10.0,-29.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.75 72.815),160.67818677038807,72.79094696044922,-40.87727355957031,99.0,52.0,3085.318603515625,-31.54071044921875
38,38,1955-07-10 00:00:00,4-325,72.46666666666667,-40.333333333333336,3104.0,10.0,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.33333333333334 72.46666666666667),159.66725958575296,72.5106430053711,-40.4929313659668,97.0,53.0,3096.625,-31.342300415039062
39,39,1955-07-12 00:00:00,4-350,72.11666666666666,-39.93333333333333,3128.0,10.0,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.93333333333333 72.11666666666666),158.28844679873762,72.08306884765625,-39.72052764892578,94.0,55.0,3122.08251953125,-31.645767211914062
40,40,1955-07-14 00:00:00,4-375,71.77,-39.6,3131.0,10.0,-29.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.6 71.77),157.6735253405108,71.8138198852539,-39.80016326904297,92.0,55.0,3100.602783203125,-31.665664672851562
41,41,1955-07-16 00:00:00,4-400,71.425,-39.333333333333336,3126.0,10.0,-29.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.33333333333334 71.425),156.79641227829055,71.53216552734375,-39.4531135559082,90.0,56.0,3100.080078125,-31.494964599609375
42,42,1955-07-18 00:00:00,5-0,71.08333333333333,-38.96666666666667,3123.0,10.0,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-38.96666666666667 71.08333333333333),155.79351104183007,71.11587524414062,-39.15936279296875,87.0,57.0,3084.40234375,-32.04203796386719
43,43,1955-07-20 00:00:00,5-20,71.0,-39.66666666666666,3072.0,10.0,-27.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.66666666666666 71),156.46477640270692,70.99484252929688,-39.613094329833984,86.0,56.0,3042.6103515625,-31.76202392578125
44,44,1955-07-23 00:00:00,5-40,70.90666666666667,-40.63333333333333,3005.0,10.0,-27.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.63333333333333 70.90666666666667),157.61029723385613,70.88382720947266,-40.47074890136719,85.0,54.0,2972.28369140625,-28.87103271484375
45,45,1955-08-02 00:00:00,5-65,70.775,-41.63333333333333,2882.0,10.0,-25.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.63333333333333 70.77500000000001),159.03645413259756,70.77687072753906,-41.726287841796875,84.0,51.0,2855.120361328125,-28.961349487304688
46,46,1955-08-06 00:00:00,5-90,70.63,-42.61666666666667,2763.0,10.0,-24.35,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.61666666666667 70.63),160.13379098133814,70.65573120117188,-42.56096649169922,83.0,49.0,2757.330810546875,-26.698501586914062
47,47,1955-08-08 00:00:00,5-115,70.45166666666667,-43.58333333333334,2646.0,10.0,-24.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.58333333333334 70.45166666666667),161.09822948310696,70.39607238769531,-43.39619064331055,81.0,47.0,2624.2783203125,-25.937835693359375
48,48,1955-08-10 00:00:00,5-140,70.3,-44.55,2466.0,10.0,-21.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.55 70.3),162.43678467356924,70.26854705810547,-44.601741790771484,80.0,44.0,2440.320068359375,-25.04180908203125
49,49,1955-08-12 00:00:00,5-150,70.25,-44.96666666666667,2407.0,10.0,-21.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.96666666666667 70.25),162.97799237966586,70.2690200805664,-45.0,80.0,43.0,2374.57568359375,-23.4237060546875
50,50,1955-08-13 00:00:00,5-160,70.175,-45.36666666666667,2342.0,10.0,-21.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.36666666666667 70.175),163.39202534859564,70.13402557373047,-45.39551544189453,79.0,42.0,2286.59375,-21.516616821289062
51,51,1955-08-14 00:00:00,5-170,70.105,-45.73333333333333,2283.0,10.0,-21.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.73333333333333 70.105),163.88045709992832,70.13263702392578,-45.790992736816406,79.0,41.0,2227.357177734375,-21.00787353515625
52,52,1955-08-15 00:00:00,5-180,70.04,-46.13333333333333,2206.0,10.0,-20.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-46.13333333333333 70.04000000000001),164.29447592371613,69.99586486816406,-46.178260803222656,78.0,40.0,2122.717041015625,-19.200485229492188
53,53,1955-08-16 00:00:00,5-190,69.97666666666667,-46.5,2146.0,10.0,-19.95,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-46.5 69.97666666666667),164.78426204433416,69.99262237548828,-46.57084274291992,78.0,39.0,2059.107666015625,-19.11676025390625
54,54,1955-08-17 00:00:00,5-200,69.91666666666667,-46.93333333333333,2012.0,10.0,-19.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-46.93333333333333 69.91666666666667),165.21837299320845,69.85413360595703,-46.94991683959961,77.0,38.0,1951.444580078125,-16.354400634765625
55,55,1955-08-18 00:00:00,5-210,69.87,-47.3,1963.0,10.0,-18.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-47.3 69.87),165.71656522006325,69.84910583496094,-47.339500427246094,77.0,37.0,1872.622314453125,-9.435546875
