,Unnamed: 0,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,geometry,RACMO_distance,RACMO_lat,RACMO_lon,RACMO_i,RACMO_j,RACMO_elevation,RACMO_10m_temp
37,37,1955-07-08 00:00:00,4-300,72.815,-40.75,3046.0,10.0,-29.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.75 72.815),160.58954426656433,72.82462310791016,-40.718284606933594,305.0,182.0,1.0,-27.77904357910154
38,38,1955-07-10 00:00:00,4-325,72.46666666666667,-40.333333333333336,3104.0,10.0,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.33333333333334 72.46666666666667),159.52652425174284,72.48007202148438,-40.324501037597656,298.0,184.0,1.0,-27.745077514648415
39,39,1955-07-12 00:00:00,4-350,72.11666666666666,-39.93333333333333,3128.0,10.0,-29.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.93333333333333 72.11666666666666),158.48398178651206,72.13477325439453,-39.9454231262207,291.0,186.0,1.0,-27.726080322265602
40,40,1955-07-14 00:00:00,4-375,71.77,-39.6,3131.0,10.0,-29.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.6 71.77),157.50028899433966,71.78878021240234,-39.58026123046875,284.0,188.0,1.0,-27.660742187499977
41,41,1955-07-16 00:00:00,4-400,71.425,-39.333333333333336,3126.0,10.0,-29.2,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.33333333333334 71.425),156.6837303199517,71.44061279296875,-39.38530731201172,277.0,189.0,1.0,-27.373922729492165
42,42,1955-07-18 00:00:00,5-0,71.08333333333333,-38.96666666666667,3123.0,10.0,-29.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-38.96666666666667 71.08333333333333),155.69549661171035,71.09359741210938,-39.04307556152344,270.0,191.0,1.0,-27.041052246093727
43,43,1955-07-20 00:00:00,5-20,71.0,-39.66666666666666,3072.0,10.0,-27.7,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-39.66666666666666 71),156.48487641250063,70.98751831054688,-39.64884948730469,268.0,187.0,1.0,-26.689108276367165
44,44,1955-07-23 00:00:00,5-40,70.90666666666667,-40.63333333333333,3005.0,10.0,-27.5,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-40.63333333333333 70.90666666666667),157.702670560161,70.92459106445312,-40.560646057128906,267.0,181.0,1.0,-26.118170166015602
45,45,1955-08-02 00:00:00,5-65,70.775,-41.63333333333333,2882.0,10.0,-25.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-41.63333333333333 70.77500000000001),158.97205071319902,70.803955078125,-41.60813522338867,265.0,174.0,1.0,-25.565954589843727
46,46,1955-08-06 00:00:00,5-90,70.63,-42.61666666666667,2763.0,10.0,-24.35,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-42.61666666666667 70.63),160.16254066616548,70.6275863647461,-42.629783630371094,262.0,167.0,1.0,-24.550558471679665
47,47,1955-08-08 00:00:00,5-115,70.45166666666667,-43.583333333333336,2646.0,10.0,-24.3,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-43.58333333333334 70.45166666666667),161.30085494079523,70.44556427001953,-43.63328552246094,259.0,160.0,1.0,-23.472753906249977
48,48,1955-08-10 00:00:00,5-140,70.3,-44.55,2466.0,10.0,-21.6,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.55 70.3),162.38870960630746,70.31356048583984,-44.48874282836914,257.0,154.0,1.0,-22.55553283691404
49,49,1955-08-12 00:00:00,5-150,70.25,-44.96666666666667,2407.0,10.0,-21.8,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-44.96666666666667 70.25),162.8997093767784,70.24603271484375,-44.91227340698242,256.0,151.0,1.0,-21.969564819335915
50,50,1955-08-13 00:00:00,5-160,70.175,-45.36666666666667,2342.0,10.0,-21.1,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),as reported in Mock and Weeks 1965,1955,POINT (-45.36666666666667 70.175),163.3785517827622,70.17750549316406,-45.33298873901367,255.0,148.0,1.0,-21.502523803710915
