,date,site,latitude,longitude,elevation,depthOfTemperatureObservation,temperatureObserved,reference,reference_short,note,year,ERA_distance,ERA_lat,ERA_lon,ERA_i,ERA_j
60,1955-08-20 00:00:00,5-230,69.73166666666667,-48.05,1746.0,10.0,54.0,Benson (1962),Benson (1962),as reported in Mock and Weeks 1965,1955,166.57399684724442,69.72890300892495,-48.0606354234107,384.0,430.0
61,1954-01-01 00:00:00,0-35,76.51833333333333,-66.38666666666667,874.0,10.0,-10.0,"Benson, C. S. (1962)  Stratigraphic  studies  in the snow and firn of  the  Greenland ice sheet, U. S.  Army  Snow Ice  and  Permafrost  Research  Establishment (USA SIPRE) Research Report 70, 93p",Benson (1962),,1954,202.08687392613288,76.50557100887673,-66.38342671640412,201.0,340.0
62,1955-01-01 00:00:00,4-425,71.0833,-38.9667,3141.0,10.0,-29.8,"Benson, C. (1962), Stratigraphic Studies in the Snow and Firn of the Greenland Ice Sheet. Snow, Ice and Permafrost Research Establishment, Research Report 70, 182 pp.",Benson (1962),as reported in McGrath et al. (2013),1955,155.6905414814747,71.11156538808734,-39.018108691917334,349.0,502.0
63,1912-01-01 00:00:00,12,68.8195,-46.215,1888.0,10.0,33.5,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,162.66422247717662,68.79964360074756,-46.20780559087885,407.0,445.0
64,1912-01-01 00:00:00,13,68.68716666666667,-45.748333333333335,1936.0,10.0,26.5,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,161.82848578013,68.67838729916356,-45.74615197428793,410.0,449.0
65,1912-01-01 00:00:00,14,68.56716666666667,-45.27333333333333,2046.0,10.0,25.0,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,160.9984605875381,68.5558400009548,-45.28986477886876,413.0,453.0
66,1912-01-01 00:00:00,18,67.90033333333334,-43.25333333333333,2399.0,10.0,69.5,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,157.14673240034017,67.88471029059393,-43.200660197553546,429.0,472.0
67,1912-01-01 00:00:00,24,66.96783333333333,-40.873333333333335,2254.0,10.0,33.6,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,152.5001230153384,66.97160265158327,-40.85497177812063,450.0,495.0
68,1912-01-01 00:00:00,25,66.78033333333333,-40.365,2084.0,10.0,33.6,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,151.5349316754925,66.7918999881075,-40.36552194271038,454.0,500.0
69,1912-01-01 00:00:00,26,66.49916666666667,-39.73166666666667,1816.0,10.0,34.0,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,150.2021959756144,66.48055018767828,-39.706599027962554,461.0,507.0
70,1912-01-01 00:00:00,27,66.24583333333334,-38.975,1465.0,10.0,35.3,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,148.7808943803792,66.24389473312971,-38.9432284733209,466.0,515.0
71,1912-01-01 00:00:00,28,66.072,-38.46666666666667,1236.0,10.0,39.2,DeQuervain and Mercanton (1925),DeQuervain and Mercanton (1925),as reported in Mock and Weeks 1965,1912,147.8427065361627,66.05839825554708,-38.48409345678964,470.0,520.0
72,1954-01-01 00:00:00,unnamed 67,66.275,-47.766666666666666,1792.0,10.0,31.7,Hendrickson (1955),Hendrickson (1955),as reported in Mock and Weeks 1965,1954,161.2996616201401,66.26312944715912,-47.8073668978297,468.0,428.0
73,1912-01-01 00:00:00,unnamed 68,75.98333333333333,-30.7,2310.0,10.0,15.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,150.86198148253587,75.98230778775473,-30.68541870734522,225.0,537.0
74,1912-01-01 00:00:00,unnamed 69,75.75,-32.71666666666667,2441.0,10.0,14.8,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,153.37158202981112,75.75125947710006,-32.682242310105586,233.0,527.0
75,1912-01-01 00:00:00,unnamed 70,75.7,-33.3,2513.0,10.0,11.2,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,154.1137075099167,75.69519562177997,-33.254495886227986,235.0,524.0
76,1912-01-01 00:00:00,unnamed 71,75.56666666666666,-34.083333333333336,2570.0,10.0,22.5,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,155.0447937818053,75.56314506730604,-34.05330347190186,239.0,520.0
77,1912-01-01 00:00:00,unnamed 72,75.5,-34.55,2582.0,10.0,21.0,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,155.68882412747635,75.54517936920008,-34.58206683134145,240.0,517.0
78,1912-01-01 00:00:00,unnamed 73,75.41666666666667,-35.1,2606.0,10.0,17.5,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,156.36017467261712,75.4430254552096,-35.166983783389526,243.0,514.0
79,1912-01-01 00:00:00,unnamed 74,75.35,-35.46666666666667,2629.0,10.0,16.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,156.66519220803397,75.32563397418014,-35.41573733916299,246.0,513.0
80,1912-01-01 00:00:00,unnamed 75,75.26666666666667,-35.86666666666667,2653.0,10.0,15.2,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,157.09880246179875,75.21477365628144,-35.8231499265323,249.0,511.0
81,1912-01-01 00:00:00,unnamed 76,75.08333333333333,-37.083333333333336,2705.0,10.0,17.2,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,158.61535726713868,75.09216790170754,-37.05715214648517,253.0,504.0
82,1912-01-01 00:00:00,unnamed 77,75.03333333333333,-37.48333333333333,2712.0,10.0,17.3,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,159.07156652781083,75.02015797920741,-37.42433745928451,255.0,502.0
83,1912-01-01 00:00:00,unnamed 78,74.98333333333333,-37.85,2722.0,10.0,16.9,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,159.50126221877716,74.94755697608288,-37.78795640661085,257.0,500.0
84,1912-01-01 00:00:00,unnamed 79,74.91666666666667,-38.18333333333333,2737.0,10.0,16.1,Koch and Wegener (1930),Koch and Wegener (1930),as reported in Mock and Weeks 1965,1912,159.90858784067922,74.9161276784431,-38.12875953026479,258.0,498.0
